scenario_id,complexity,n_tasks,n_disruptions,total_duration_min,feasible,workday_minutes
SCN_0927,medium,9,3,915,False,600
SCN_0072,low,6,1,295,True,600
SCN_0626,medium,12,3,905,False,600
SCN_0691,medium,14,2,1505,False,600
SCN_0493,medium,14,1,1250,False,600
SCN_0799,medium,12,3,1085,False,600
SCN_0819,low,8,2,505,True,600
SCN_0061,high,18,3,1795,False,600
SCN_0812,high,15,2,1520,False,600
SCN_0832,low,7,1,580,True,600
SCN_0611,medium,9,1,1290,False,600
SCN_0222,medium,12,1,1020,False,600
SCN_0174,high,19,3,1420,False,600
SCN_0501,high,19,3,1920,False,600
SCN_0661,high,17,2,1985,False,600
SCN_0027,low,8,2,685,False,600
SCN_0678,medium,11,1,1025,False,600
SCN_0736,medium,13,1,1445,False,600
SCN_0582,medium,13,3,1125,False,600
SCN_0778,high,18,2,1465,False,600
SCN_0973,high,18,2,1905,False,600
SCN_0074,high,20,3,1440,False,600
SCN_0992,medium,10,3,1025,False,600
SCN_0879,medium,13,3,1295,False,600
SCN_0091,low,7,3,445,True,600
SCN_0403,high,16,2,1440,False,600
SCN_0584,low,5,1,440,True,600
SCN_0487,high,18,1,1970,False,600
SCN_0171,high,17,3,1565,False,600
SCN_0817,high,18,1,1425,False,600
SCN_0794,medium,13,1,835,False,600
SCN_0651,low,6,2,660,False,600
SCN_0919,low,8,3,705,False,600
SCN_0038,high,17,2,1665,False,600
SCN_0873,high,20,2,1645,False,600
SCN_0034,low,5,3,585,True,600
SCN_0457,high,20,3,1995,False,600
SCN_0633,low,6,3,635,False,600
SCN_0916,medium,10,2,1230,False,600
SCN_0964,low,6,1,495,True,600
SCN_0016,high,20,1,1890,False,600
SCN_0127,low,8,2,555,True,600
SCN_0399,high,20,2,1870,False,600
SCN_0434,high,16,2,1315,False,600
SCN_0662,medium,11,2,840,False,600
SCN_0377,medium,11,3,1290,False,600
SCN_0229,medium,10,3,970,False,600
SCN_0360,medium,14,1,1280,False,600
SCN_0589,medium,14,2,1200,False,600
SCN_0408,high,15,3,1340,False,600
SCN_0524,high,18,3,1740,False,600
SCN_0893,medium,9,1,975,False,600
SCN_0863,medium,12,3,960,False,600
SCN_0258,medium,12,3,995,False,600
SCN_0601,low,8,1,750,False,600
SCN_0597,low,8,3,960,False,600
SCN_0084,low,5,2,185,True,600
SCN_0576,low,6,2,445,True,600
SCN_0404,high,17,2,1280,False,600
SCN_0469,low,8,1,555,True,600
SCN_0443,medium,12,2,1115,False,600
SCN_0818,low,6,2,720,False,600
SCN_0243,medium,9,2,1275,False,600
SCN_0330,medium,12,2,1460,False,600
SCN_0637,high,18,3,1410,False,600
SCN_0910,medium,9,3,930,False,600
SCN_0666,high,17,2,1535,False,600
SCN_0707,medium,12,2,1275,False,600
SCN_0361,medium,10,3,1055,False,600
SCN_0204,low,6,2,275,True,600
SCN_0050,low,5,3,440,True,600
SCN_0210,medium,14,2,1090,False,600
SCN_0110,medium,14,2,1695,False,600
SCN_0383,high,15,3,1065,False,600
SCN_0354,high,17,3,1790,False,600
SCN_0036,medium,13,1,1045,False,600
SCN_0991,low,5,1,285,True,600
SCN_0960,high,16,2,1165,False,600
SCN_0984,medium,9,3,950,False,600
SCN_0891,high,15,3,1460,False,600
SCN_0451,medium,13,2,860,False,600
SCN_0738,high,19,1,2540,False,600
SCN_0535,high,20,1,2045,False,600
SCN_0915,low,7,2,980,False,600
SCN_0876,high,16,1,1700,False,600
SCN_0585,low,8,3,695,False,600
SCN_0896,high,19,3,2340,False,600
SCN_0296,medium,14,3,1400,False,600
SCN_0889,high,18,2,1750,False,600
SCN_0042,high,15,2,1660,False,600
SCN_0970,low,6,2,525,True,600
SCN_0857,high,18,3,1830,False,600
SCN_0188,medium,10,1,1065,False,600
SCN_0239,medium,13,2,1290,False,600
SCN_0853,high,15,1,1580,False,600
SCN_0139,high,19,3,1465,False,600
SCN_0134,high,19,1,1410,False,600
SCN_0214,low,6,3,360,True,600
SCN_0836,low,8,3,415,True,600
SCN_0419,low,6,1,445,True,600
SCN_0779,high,16,1,1760,False,600
SCN_0656,medium,10,1,800,False,600
SCN_0624,medium,9,1,985,False,600
SCN_0343,high,19,2,1795,False,600
SCN_0706,high,19,3,2535,False,600
SCN_0808,low,7,2,945,False,600
SCN_0423,low,8,3,1035,False,600
SCN_0484,low,6,3,600,True,600
SCN_0009,medium,13,3,1025,False,600
SCN_0756,medium,9,3,995,False,600
SCN_0064,high,20,1,1320,False,600
SCN_0723,high,17,1,2015,False,600
SCN_0754,high,18,1,1960,False,600
SCN_0976,medium,12,2,1500,False,600
SCN_0433,high,17,3,1760,False,600
SCN_0500,low,7,1,885,False,600
SCN_0570,medium,10,2,915,False,600
SCN_0369,low,5,1,345,True,600
SCN_0370,medium,13,3,1180,False,600
SCN_0561,low,6,3,375,True,600
SCN_0795,medium,14,3,1430,False,600
SCN_0161,low,8,1,620,False,600
SCN_0465,low,6,2,355,True,600
SCN_0725,high,17,1,1530,False,600
SCN_0398,low,7,3,690,False,600
SCN_0574,medium,11,3,965,False,600
SCN_0058,high,18,3,1875,False,600
SCN_0384,medium,13,2,1215,False,600
SCN_0241,medium,14,3,1480,False,600
SCN_0959,medium,11,2,855,False,600
SCN_0702,medium,9,3,780,False,600
SCN_0609,low,5,3,440,True,600
SCN_0142,high,20,3,1710,False,600
SCN_0515,medium,10,2,1190,False,600
SCN_0996,high,16,2,1995,False,600
SCN_0830,low,8,2,840,False,600
SCN_0749,high,20,3,1365,False,600
SCN_0372,medium,14,2,1550,False,600
SCN_0033,high,15,1,1525,False,600
SCN_0112,medium,11,3,1305,False,600
SCN_0677,medium,10,2,590,True,600
SCN_0581,medium,11,3,780,False,600
SCN_0146,high,15,3,1460,False,600
SCN_0769,medium,10,3,750,False,600
SCN_0402,low,7,2,485,True,600
SCN_0289,high,15,2,1825,False,600
SCN_0298,low,7,2,340,True,600
SCN_0154,high,15,2,1595,False,600
SCN_0742,medium,14,1,925,False,600
SCN_0004,medium,13,3,1050,False,600
SCN_0319,medium,14,3,1700,False,600
SCN_0118,medium,10,1,1095,False,600
SCN_0523,low,5,3,600,True,600
SCN_0632,low,6,3,420,True,600
SCN_0492,high,15,2,1420,False,600
SCN_0095,medium,9,1,710,False,600
SCN_0284,low,5,2,345,True,600
SCN_0878,low,7,3,555,True,600
SCN_0057,low,5,3,410,True,600
SCN_0948,medium,9,3,1020,False,600
SCN_0675,medium,12,1,995,False,600
SCN_0519,medium,14,3,1255,False,600
SCN_0270,low,8,2,795,False,600
SCN_0019,high,20,2,1925,False,600
SCN_0264,low,5,3,435,True,600
SCN_0994,high,16,1,1680,False,600
SCN_0774,high,19,3,2390,False,600
SCN_0979,low,5,2,345,True,600
SCN_0002,medium,9,3,1165,False,600
SCN_0874,medium,11,2,1565,False,600
SCN_0308,medium,13,2,1190,False,600
SCN_0215,high,19,1,1435,False,600
SCN_0269,medium,12,2,1165,False,600
SCN_0962,high,19,3,1580,False,600
SCN_0628,medium,12,1,1305,False,600
SCN_0861,high,20,2,1930,False,600
SCN_0440,high,20,1,1645,False,600
SCN_0273,medium,11,2,1115,False,600
SCN_0475,medium,10,1,850,False,600
SCN_0932,medium,12,3,970,False,600
SCN_0122,low,6,1,420,True,600
SCN_0525,medium,9,1,790,False,600
SCN_0743,low,5,1,605,False,600
SCN_0901,high,20,3,1510,False,600
SCN_0342,high,15,1,1055,False,600
SCN_0295,low,8,3,600,True,600
SCN_0262,low,8,3,945,False,600
SCN_0539,medium,9,2,890,False,600
SCN_0920,low,5,1,410,True,600
SCN_0610,high,18,3,2090,False,600
SCN_0194,medium,12,3,1195,False,600
SCN_0452,high,15,2,1605,False,600
SCN_0409,high,19,2,1730,False,600
SCN_0390,low,6,3,560,True,600
SCN_0211,medium,11,2,1015,False,600
SCN_0923,high,19,3,1955,False,600
SCN_0759,medium,9,3,1190,False,600
SCN_0066,low,5,1,440,True,600
SCN_0623,low,8,3,845,False,600
SCN_0078,medium,11,2,875,False,600
SCN_0522,low,5,2,840,False,600
SCN_0592,high,20,1,1790,False,600
SCN_0548,high,15,2,1395,False,600
SCN_0517,high,18,1,1750,False,600
SCN_0474,medium,12,3,1270,False,600
SCN_0952,high,18,3,1835,False,600
SCN_0462,high,15,3,1570,False,600
SCN_0379,low,7,2,510,True,600
SCN_0762,high,16,2,1760,False,600
SCN_0809,medium,10,1,1245,False,600
SCN_0924,medium,10,2,845,False,600
SCN_0615,high,15,2,1450,False,600
SCN_0446,medium,14,2,1880,False,600
SCN_0491,low,5,2,345,True,600
SCN_0306,high,16,1,1080,False,600
SCN_0479,high,19,1,1795,False,600
SCN_0136,low,6,2,795,False,600
SCN_0591,medium,11,1,845,False,600
SCN_0166,low,6,2,525,True,600
SCN_0946,medium,12,2,1140,False,600
SCN_0083,high,20,1,1435,False,600
SCN_0216,high,18,1,1925,False,600
SCN_0116,medium,11,1,1365,False,600
SCN_0945,medium,12,1,1575,False,600
SCN_0670,medium,9,1,965,False,600
SCN_0471,medium,10,1,845,False,600
SCN_0477,high,17,1,1505,False,600
SCN_0350,high,15,1,1580,False,600
SCN_0365,high,17,2,1440,False,600
SCN_0588,high,17,1,1495,False,600
SCN_0752,high,17,3,1830,False,600
SCN_0929,medium,12,1,1265,False,600
SCN_0811,low,8,2,660,False,600
SCN_0055,low,7,1,780,False,600
SCN_0865,high,17,2,1355,False,600
SCN_0727,medium,10,3,1020,False,600
SCN_0673,low,6,1,690,False,600
SCN_0676,low,8,1,810,False,600
SCN_0152,high,20,1,2140,False,600
SCN_0598,low,7,1,875,False,600
SCN_0466,high,17,2,1730,False,600
SCN_0044,medium,14,3,1560,False,600
SCN_0520,medium,10,2,1065,False,600
SCN_0292,high,19,2,2160,False,600
SCN_0068,high,16,1,1735,False,600
SCN_0456,low,8,3,900,False,600
SCN_0768,low,7,1,525,True,600
SCN_0554,high,18,1,1365,False,600
SCN_0776,medium,13,1,1630,False,600
SCN_0130,medium,13,1,1050,False,600
SCN_0407,low,6,2,305,True,600
SCN_0496,medium,12,2,1240,False,600
SCN_1000,low,7,1,570,True,600
SCN_0287,low,7,2,335,True,600
SCN_0400,high,19,1,1845,False,600
SCN_0463,low,7,3,720,False,600
SCN_0486,high,20,3,2020,False,600
SCN_0212,high,15,1,1450,False,600
SCN_0516,medium,10,3,1170,False,600
SCN_0482,high,18,1,2340,False,600
SCN_0175,high,20,2,2460,False,600
SCN_0721,high,20,1,1400,False,600
SCN_0540,low,6,1,765,False,600
SCN_0788,low,5,2,510,True,600
SCN_0621,high,15,3,1475,False,600
SCN_0555,low,8,2,590,True,600
SCN_0218,medium,10,2,605,False,600
SCN_0993,low,6,3,765,False,600
SCN_0458,high,20,1,1455,False,600
SCN_0348,high,18,2,1760,False,600
SCN_0307,low,5,3,305,True,600
SCN_0340,low,8,1,540,True,600
SCN_0242,low,6,3,900,False,600
SCN_0898,high,15,3,1350,False,600
SCN_0013,high,20,2,1745,False,600
SCN_0324,low,7,2,575,True,600
SCN_0104,low,7,1,640,False,600
SCN_0784,low,5,2,540,True,600
SCN_0015,medium,14,2,1500,False,600
SCN_0025,low,6,1,485,True,600
SCN_0017,medium,10,2,660,False,600
SCN_0918,medium,9,3,955,False,600
SCN_0196,high,18,3,1270,False,600
SCN_0455,medium,11,2,950,False,600
SCN_0596,medium,13,1,1695,False,600
SCN_0867,medium,14,1,1605,False,600
SCN_0883,high,17,1,1875,False,600
SCN_0499,low,8,3,665,False,600
SCN_0990,high,17,2,1290,False,600
SCN_0618,medium,13,2,1410,False,600
SCN_0368,high,15,2,1335,False,600
