scenario_id,complexity,n_tasks,feasible,scheduler,tcr,dd,srt,completed,missed,on_time
SCN_0689,medium,11,False,FIFO,0.3076923076923077,157.75,0.0,8,5,4
SCN_0671,medium,14,False,FIFO,0.26666666666666666,115.25,0.0,8,7,4
SCN_0697,medium,12,False,FIFO,0.3076923076923077,99.75,0.0,8,5,4
SCN_0449,low,8,False,FIFO,0.5714285714285714,242.16666666666666,0.0,6,1,4
SCN_0839,medium,11,False,FIFO,0.08333333333333333,133.625,0.0,8,4,1
SCN_0069,low,7,False,FIFO,0.375,150.0,0.0,6,2,3
SCN_0978,medium,11,False,FIFO,0.3076923076923077,92.5,0.0,6,7,4
SCN_0783,medium,13,False,FIFO,0.21428571428571427,188.83333333333334,0.0,6,8,3
SCN_0103,low,5,True,FIFO,0.75,303.5,0.0,4,0,3
SCN_0283,low,5,True,FIFO,0.6,134.6,0.0,5,0,3
SCN_0109,high,15,False,FIFO,0.2,87.75,0.0,8,7,3
SCN_0985,high,18,False,FIFO,0.29411764705882354,98.5,0.0,8,9,5
SCN_0177,medium,13,False,FIFO,0.23076923076923078,116.16666666666667,0.0,6,7,3
SCN_0321,low,8,False,FIFO,0.14285714285714285,190.75,0.0,4,3,1
SCN_0980,low,5,True,FIFO,0.7142857142857143,99.57142857142857,0.0,7,0,5
SCN_0138,high,17,False,FIFO,0.11764705882352941,68.2,0.0,10,7,2
SCN_0345,low,7,False,FIFO,0.625,177.57142857142858,0.0,7,1,5
SCN_0665,high,20,False,FIFO,0.10526315789473684,131.375,0.0,8,11,2
SCN_0753,medium,12,False,FIFO,0.5454545454545454,164.57142857142858,0.0,7,4,6
SCN_0933,medium,9,False,FIFO,0.5555555555555556,202.0,0.0,7,2,5
SCN_0549,medium,13,False,FIFO,0.13333333333333333,122.55555555555556,0.0,9,6,2
SCN_0233,medium,10,False,FIFO,0.6,111.5,0.0,8,2,6
SCN_0394,low,8,False,FIFO,0.2,99.28571428571429,0.0,7,3,2
SCN_0954,medium,10,True,FIFO,0.36363636363636365,86.2,0.0,10,1,4
SCN_0791,medium,11,False,FIFO,0.75,68.45454545454545,0.0,11,1,9
SCN_0031,high,20,False,FIFO,0.2857142857142857,100.11111111111111,0.0,9,12,6
SCN_0257,medium,9,False,FIFO,0.5,145.375,0.0,8,2,5
SCN_0906,low,8,False,FIFO,0.6666666666666666,91.0,0.0,6,0,4
SCN_0076,medium,12,False,FIFO,0.14285714285714285,64.875,0.0,8,6,2
SCN_0542,low,6,True,FIFO,1.0,261.8,0.0,5,0,5
SCN_0435,low,6,False,FIFO,0.16666666666666666,91.75,0.0,4,2,1
SCN_0801,high,18,False,FIFO,0.1111111111111111,138.3,0.0,10,8,2
SCN_0043,high,19,False,FIFO,0.1,58.23076923076923,0.0,13,7,2
SCN_0291,low,6,True,FIFO,0.4,80.0,0.0,4,1,2
SCN_0877,high,17,False,FIFO,0.125,148.5,0.0,8,8,2
SCN_0048,medium,13,False,FIFO,0.15384615384615385,61.833333333333336,0.0,6,7,2
SCN_0829,low,5,False,FIFO,0.25,179.5,0.0,2,2,1
SCN_0950,low,5,True,FIFO,0.75,232.75,0.0,4,0,3
SCN_0476,low,7,True,FIFO,0.625,81.25,0.0,8,0,5
SCN_0647,low,8,False,FIFO,0.6666666666666666,137.14285714285714,0.0,7,2,6
SCN_0427,low,6,False,FIFO,0.3333333333333333,107.75,0.0,4,2,2
SCN_0489,medium,11,False,FIFO,0.7272727272727273,201.4,0.0,10,1,8
SCN_0833,high,20,False,FIFO,0.3157894736842105,77.72727272727273,0.0,11,8,6
SCN_0698,low,6,True,FIFO,0.0,600.0,0.0,0,3,0
SCN_0764,medium,11,False,FIFO,0.25,111.0,0.0,6,6,3
SCN_0187,low,6,True,FIFO,0.8333333333333334,123.0,0.0,6,0,5
SCN_0553,high,19,False,FIFO,0.2222222222222222,90.44444444444444,0.0,9,9,4
SCN_0595,medium,9,False,FIFO,0.14285714285714285,98.75,0.0,4,3,1
SCN_0568,high,19,False,FIFO,0.2631578947368421,55.6,0.0,10,9,5
SCN_0490,low,6,False,FIFO,0.5714285714285714,140.4,0.0,5,2,4
SCN_0497,high,16,False,FIFO,0.4,40.5,0.0,8,7,6
SCN_0334,high,18,False,FIFO,0.1,140.0909090909091,0.0,11,9,2
SCN_0770,high,15,False,FIFO,0.3333333333333333,95.75,0.0,8,7,5
