episode,reward,tcr,dd,epsilon,loss,completed,missed
1,-111.0,0.10526315789473684,156.0,0.9997720273578113,0.0,6,13
2,-100.0,0.1875,159.57142857142858,0.9994301709658051,0.0,7,9
3,-92.0,0.23529411764705882,240.125,0.9988227300582114,0.0,8,9
4,-44.0,0.09090909090909091,206.33333333333334,0.9986709305656853,6.9544879368373325,3,8
5,-74.0,0.3333333333333333,131.57142857142858,0.9984622459171139,6.8060347768995495,7,2
6,7.0,0.6666666666666666,204.0,0.9983484372762589,6.681453188260396,6,0
7,-136.0,0.23529411764705882,121.66666666666667,0.9980070932844445,6.357269309815907,9,8
8,-103.0,0.21428571428571427,123.6,0.9977227338125126,6.1719740566454435,5,9
9,7.0,0.75,166.33333333333334,0.9970974431768043,5.502982062763638,3,1
10,-48.0,0.1111111111111111,144.25,0.9969837983024519,5.390807189047337,4,14
11,-119.0,0.3125,162.77777777777777,0.9965672170857873,4.70949325799942,9,7
12,12.0,0.6666666666666666,145.0,0.9964536358347483,4.495283746719361,6,0
13,-39.0,0.3333333333333333,179.33333333333334,0.9963400682126419,4.351151716709137,6,0
14,-129.0,0.3125,128.14285714285714,0.9960372878382574,3.9225526213645936,7,9
15,-56.0,0.16666666666666666,314.5,0.9958102661328705,3.6618299007415773,6,6
16,-38.0,0.2222222222222222,218.66666666666666,0.9955265656102368,3.4373844909667968,6,12
17,-42.0,0.4444444444444444,248.22222222222223,0.9953563861450383,3.363828480243683,9,0
18,-130.0,0.23076923076923078,274.0,0.9950728217659784,3.303849945068359,10,3
19,-180.0,0.21052631578947367,169.4,0.9946381882413408,3.2151278972625734,10,9
20,4.0,0.23076923076923078,159.75,0.9944870582219462,3.223604829311371,4,9
21,-143.0,0.21052631578947367,164.28571428571428,0.9941093389475485,3.1675572896003725,7,12
22,-6.0,0.15789473684210525,188.6,0.9940149327340431,3.160697717666626,5,14
23,-18.0,0.5,116.0,0.9939016577387506,3.107617235183716,6,0
24,-74.0,0.2631578947368421,208.14285714285714,0.9934675628256754,2.970158029794693,7,12
25,-42.0,0.16666666666666666,217.0,0.9933354866124304,2.924690181016922,7,11
26,-47.0,0.23529411764705882,218.71428571428572,0.9930336675503398,2.8277369153499605,7,10
27,-169.0,0.06666666666666667,168.8,0.9927130906045418,2.7823231410980225,5,10
28,-140.0,0.21428571428571427,215.25,0.9922041629584467,2.628078269958496,8,6
29,-89.0,0.2222222222222222,66.25,0.9920157409686821,2.583387656211853,4,5
30,-17.0,0.5,208.33333333333334,0.9918838679962698,2.519988033771515,6,0
31,-48.0,0.25,165.66666666666666,0.9916955100590922,2.4603278744220733,6,10
32,-11.0,0.2727272727272727,211.4,0.9915448508305424,2.459686349630356,5,6
33,-1.0,0.6,172.2,0.9913565606900181,2.448013161420822,5,0
34,-101.0,0.05263157894736842,148.0,0.9911306622243526,2.4243081116676333,4,15
35,-106.0,0.16666666666666666,120.8,0.9907354703423229,2.3824213695526124,5,7
36,-47.0,0.375,239.375,0.9905849647078401,2.389389100074768,8,0
37,-3.0,0.625,150.57142857142858,0.9903028315405188,2.3740698099136353,7,1
38,-153.0,0.2631578947368421,165.22222222222223,0.9898327976430152,2.4394406604766847,9,10
39,-52.0,0.16666666666666666,118.5,0.989362998703716,2.3772991502285006,4,8
40,-53.0,0.1111111111111111,275.1666666666667,0.9892314970892253,2.378742616176605,6,12
41,-86.0,0.3076923076923077,231.66666666666666,0.9887995499560216,2.3978239810466766,6,7
42,-26.0,0.08333333333333333,134.0,0.9887432236728296,2.4020243656635283,3,9
43,-63.0,0.3333333333333333,233.71428571428572,0.9883678014728061,2.3831463086605074,7,2
44,-64.0,0.2857142857142857,199.5,0.9880488106518179,2.4007498455047607,12,9
45,-27.0,0.3,172.0,0.987936251548221,2.407663358449936,6,4
46,-102.0,0.25,94.42857142857143,0.9875611520724982,2.4395467936992645,7,5
47,-157.0,0.05555555555555555,164.66666666666666,0.987242435465687,2.4324712073802948,6,12
48,-187.0,0.125,176.55555555555554,0.9868863510005432,2.434377212524414,9,7
49,-57.0,0.4666666666666667,79.33333333333333,0.9865678637870975,2.4466659772396087,12,3
50,0.0,0.6666666666666666,225.83333333333334,0.9864554823864619,2.4544624710083007,6,0
51,-77.0,0.3333333333333333,154.0,0.9860996969066775,2.4187795341014864,8,4
52,-28.0,0.42857142857142855,119.5,0.9858376256832271,2.3848532223701477,6,1
53,-97.0,0.21052631578947367,261.22222222222223,0.9854259477037237,2.3930640864372252,9,10
54,-31.0,0.4,156.4,0.9853324097859271,2.4141548609733583,5,0
55,-40.0,0.25,178.66666666666666,0.9851266592891588,2.4046230936050415,6,6
56,-10.0,0.5714285714285714,303.2857142857143,0.9849022558204228,2.3865561151504515,7,0
57,-114.0,0.29411764705882354,197.0,0.9845844430846705,2.339708709716797,9,8
58,-38.0,0.2631578947368421,221.83333333333334,0.9842667383868808,2.359576278924942,6,13
59,-60.0,0.25,266.0,0.984061222312033,2.3444938015937806,7,5
60,-46.0,0.3333333333333333,129.5,0.9836689989713291,2.379033319950104,4,2
61,-42.0,0.36363636363636365,142.85714285714286,0.9832769403298391,2.300265337228775,7,4
62,14.0,0.7142857142857143,194.14285714285714,0.983127627964694,2.308479663133621,7,0
63,-44.0,0.21428571428571427,169.4,0.982810418499851,2.3182199478149412,5,9
64,-57.0,0.375,212.625,0.9826611807722274,2.3342922723293302,8,0
65,-93.0,0.3333333333333333,194.3,0.9824000721985175,2.301588929891586,10,2
66,-37.0,0.3076923076923077,111.4,0.982064468584801,2.286077091693878,5,8
67,-69.0,0.19047619047619047,174.1,0.9817848911829327,2.2839964032173157,10,11
68,-26.0,0.5,129.4,0.9816358175265539,2.28523286819458,5,3
